penalty,mixture,.metric,.estimator,mean,n,std_err,.config,model,features,mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,sample_size
NA,NA,mae,standard,0.25057948614098735,5,0.002483789482907812,Preprocessor1_Model20,random_forest,hybrid,124,1948,11,NA,NA,NA,NA
NA,NA,rmse,standard,0.2990737070024731,5,0.0033578077137070336,Preprocessor1_Model20,random_forest,hybrid,124,1948,11,NA,NA,NA,NA
NA,NA,mae,standard,0.2511961772600053,5,0.0026957811425554197,Preprocessor1_Model21,random_forest,hybrid,130,103,9,NA,NA,NA,NA
NA,NA,rmse,standard,0.2997919852863238,5,0.003590414563530852,Preprocessor1_Model21,random_forest,hybrid,130,103,9,NA,NA,NA,NA
NA,NA,mae,standard,0.25075751158656007,5,0.0025305124180496916,Preprocessor1_Model22,random_forest,hybrid,137,1846,34,NA,NA,NA,NA
NA,NA,rmse,standard,0.299282831886812,5,0.0032914764250602546,Preprocessor1_Model22,random_forest,hybrid,137,1846,34,NA,NA,NA,NA
NA,NA,mae,standard,0.25057184394596527,5,0.0027530185666956764,Preprocessor1_Model23,random_forest,hybrid,143,1384,3,NA,NA,NA,NA
NA,NA,rmse,standard,0.29912309770208695,5,0.0034787574508407036,Preprocessor1_Model23,random_forest,hybrid,143,1384,3,NA,NA,NA,NA
NA,NA,mae,standard,0.25056833892541086,5,0.0024037076073455685,Preprocessor1_Model24,random_forest,hybrid,150,616,2,NA,NA,NA,NA
NA,NA,rmse,standard,0.299312773483031,5,0.003160780969381897,Preprocessor1_Model24,random_forest,hybrid,150,616,2,NA,NA,NA,NA
NA,NA,mae,standard,0.25173148571686016,5,0.0021641332243836843,Preprocessor1_Model25,random_forest,hybrid,156,52,31,NA,NA,NA,NA
NA,NA,rmse,standard,0.3012223669287872,5,0.0033704526704911365,Preprocessor1_Model25,random_forest,hybrid,156,52,31,NA,NA,NA,NA
NA,NA,mae,standard,0.2506302989559629,5,0.002558389633350635,Preprocessor1_Model26,random_forest,hybrid,163,1436,21,NA,NA,NA,NA
NA,NA,rmse,standard,0.29928936193385963,5,0.0032807930857631108,Preprocessor1_Model26,random_forest,hybrid,163,1436,21,NA,NA,NA,NA
NA,NA,mae,standard,0.25055868537419546,5,0.0025406584747607167,Preprocessor1_Model27,random_forest,hybrid,169,1282,40,NA,NA,NA,NA
NA,NA,rmse,standard,0.29927660680579354,5,0.0033767434960339654,Preprocessor1_Model27,random_forest,hybrid,169,1282,40,NA,NA,NA,NA
NA,NA,mae,standard,0.25098713956231367,5,0.002497794428430362,Preprocessor1_Model28,random_forest,hybrid,176,872,12,NA,NA,NA,NA
NA,NA,rmse,standard,0.29954292404729344,5,0.0033569644241407894,Preprocessor1_Model28,random_forest,hybrid,176,872,12,NA,NA,NA,NA
NA,NA,mae,standard,0.25087818289206537,5,0.0025530299414142643,Preprocessor1_Model29,random_forest,hybrid,182,821,26,NA,NA,NA,NA
NA,NA,rmse,standard,0.2994345065492174,5,0.003434133826562209,Preprocessor1_Model29,random_forest,hybrid,182,821,26,NA,NA,NA,NA
NA,NA,mae,standard,0.25090933882843197,5,0.0025456840610366457,Preprocessor1_Model30,random_forest,hybrid,189,154,18,NA,NA,NA,NA
